Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1978","1978","1000 No","53429.668","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1978","1978","1000 No","14423.117","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1978","1978","1000 No","39273.336","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1979","1979","1000 No","53660.895","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1979","1979","1000 No","14432.11","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1979","1979","1000 No","39440.334","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1980","1980","1000 No","53941.061","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1980","1980","1000 No","14446.845","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1980","1980","1000 No","39623.972","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1981","1981","1000 No","54255.012","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1981","1981","1000 No","14469.159","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1981","1981","1000 No","39828.886","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1982","1982","1000 No","54582.408","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1982","1982","1000 No","14496.258","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1982","1982","1000 No","40051.43","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1983","1983","1000 No","54889.408","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1983","1983","1000 No","14526.711","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1983","1983","1000 No","40291.121","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1984","1984","1000 No","55176.619","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1984","1984","1000 No","14560.678","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1984","1984","1000 No","40542.065","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1985","1985","1000 No","55467.15","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1985","1985","1000 No","14596.995","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1985","1985","1000 No","40800.487","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1986","1986","1000 No","55752.834","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1986","1986","1000 No","14636.114","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1986","1986","1000 No","41068.38","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1987","1987","1000 No","56048.364","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1987","1987","1000 No","14678.255","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1987","1987","1000 No","41346.253","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1988","1988","1000 No","56361.849","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1988","1988","1000 No","14720.902","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1988","1988","1000 No","41627.312","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1989","1989","1000 No","56685.082","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1989","1989","1000 No","14760.988","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1989","1989","1000 No","41902.216","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1990","1990","1000 No","56990.238","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1990","1990","1000 No","14777.908","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1990","1990","1000 No","42182.927","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1991","1991","1000 No","57271.565","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1991","1991","1000 No","14750.84","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1991","1991","1000 No","42486.862","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1992","1992","1000 No","57554.87","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1992","1992","1000 No","14718.609","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1992","1992","1000 No","42778.365","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1993","1993","1000 No","57801.266","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1993","1993","1000 No","14683.288","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1993","1993","1000 No","43061.532","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1994","1994","1000 No","57999.866","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1994","1994","1000 No","14646.915","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1994","1994","1000 No","43343.746","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1995","1995","1000 No","58192.203","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1995","1995","1000 No","14611.473","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1995","1995","1000 No","43630.318","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1996","1996","1000 No","58380.642","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1996","1996","1000 No","14577.173","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1996","1996","1000 No","43922.516","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1997","1997","1000 No","58568.66","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1997","1997","1000 No","14544.158","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1997","1997","1000 No","44219.237","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1998","1998","1000 No","58778.816","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1998","1998","1000 No","14512.494","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1998","1998","1000 No","44522.427","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","1999","1999","1000 No","59084.21","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","1999","1999","1000 No","14465.046","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","1999","1999","1000 No","44851.061","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2000","2000","1000 No","59483.716","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","2000","2000","1000 No","14382.604","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","2000","2000","1000 No","45225.597","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2001","2001","1000 No","59905.128","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","2001","2001","1000 No","14302.809","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","2001","2001","1000 No","45608.443","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2002","2002","1000 No","60327.248","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","2002","2002","1000 No","14224.922","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","2002","2002","1000 No","46000.154","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2003","2003","1000 No","60741.126","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","2003","2003","1000 No","14149.19","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","2003","2003","1000 No","46400.907","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2004","2004","1000 No","61175.247","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","2004","2004","1000 No","14075.407","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","2004","2004","1000 No","46811.2","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2005","2005","1000 No","61625.032","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","2005","2005","1000 No","14003.975","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","2005","2005","1000 No","47229.925","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2006","2006","1000 No","62049.838","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","2006","2006","1000 No","13934.413","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","561","Population urbaine","3010","Population-Estimations","2006","2006","1000 No","47658.471","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","511","Population totale","3010","Population-Estimations","2007","2007","1000 No","62432.439","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","250","France","551","Population rurale","3010","Population-Estimations","2007","2007","1000 No","13866.281","X","Chiffre de source externe",""
