Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2020","2020","1000 USD","427338885","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2021","2021","1000 USD","517837636","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2022","2022","1000 USD","529354558","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2023","2023","1000 USD","532681256","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2024","2024","1000 USD","572953317","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1991","1991","1000 USD","16918718","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1992","1992","1000 USD","17323936","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1993","1993","1000 USD","15588346","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1994","1994","1000 USD","17949414","A","Chiffre officiel"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1995","1995","1000 USD","20721737","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1996","1996","1000 USD","21665851","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1997","1997","1000 USD","23294212","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1998","1998","1000 USD","22170185","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","1999","1999","1000 USD","23190616","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2044","Élevage","2000","2000","1000 USD","24584239","E","Valeur estimée"
